Jednorożec Lody Tradycyjne;Warszawa;Narbutta 38/32, Stary Mokotów, Warszawa;Cafe,Desserts,Ice Cream,Cash,Takeaway Available,Credit Card,No Alcohol Available,Kid Friendly,Wifi,Desserts and Bakes,Indoor Seating,Pet Friendly;https://b.zmtcdn.com/data/res_imagery/10901321_RESTAURANT_b4d5422346217ece1e1dc4f25fb3061d.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Bułkę przez Bibułkę;Warszawa;Zgoda 3, Śródmieście Północne, Warszawa;Cafe,Bagels,Cash,Takeaway Available,Credit Card,Breakfast,Kid Friendly,Wifi,Wine,Indoor Seating,Pet Friendly,Beer;https://b.zmtcdn.com/data/res_imagery/10900221_CHAIN_eed508cd2805acc42ce13af62adcf706_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Niezłe Ziółko;Warszawa;Krucza 17, Śródmieście Południowe, Warszawa;Cafe,Healthy Food,Breakfast,Lunch,Credit Card,Takeaway Available,Indoor Seating,Wifi,Vegan Options,Lunch Menu,Outdoor Seating,Pet Friendly;https://b.zmtcdn.com/data/res_imagery/10900109_RESTAURANT_e94946451845ce7aa25fb12826c7d817_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Kubek w Kubek;Warszawa;Grażyny 16, Stary Mokotów, Warszawa;Cafe,Finger Food,Credit Card,Takeaway Available,Breakfast,Lunch,Fullbar,Kid Friendly,Wifi,Vegan Options,Indoor Seating,Pet Friendly,Gluten Free Options,Vegetarian Friendly,Lunch Menu;https://b.zmtcdn.com/data/res_imagery/10901317_RESTAURANT_7656f0c9997477558c4681f11d7af48a.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Waff'love;Warszawa;Senatorska 28, Śródmieście Północne, Warszawa;Cafe,Desserts,Credit Card,Breakfast,Takeaway Available,Indoor Seating,Outdoor Seating,Pet Friendly,Desserts and Bakes,Table booking not available;https://b.zmtcdn.com/data/res_imagery/10900928_RESTAURANT_cc4b8e3117a6757fd11b6609da4516f8_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Ministerstwo Kawy;Warszawa;Marszałkowska 27/35, Śródmieście Południowe, Warszawa;Cafe,Takeaway Available,Breakfast,Credit Card,Wifi,Gluten Free Options,Wine,Indoor Seating,Pet Friendly;https://b.zmtcdn.com/data/res_imagery/10903190_RESTAURANT_ae4eeb01092439b66e85e4485909473c_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Legal Cakes;Warszawa;Chłodna 2/18, Wola, Warszawa;Desserts,Healthy Food,Cafe,Coffee and Tea,Credit Card,Breakfast,No Alcohol Available,Takeaway Available,Indoor Seating,Pet Friendly,Group Meal,Visa for Credit Card,Beverages,Outdoor Seating,Kid Friendly,Wifi,Desserts and Bakes,MasterCard for Credit Card,AMEX for Credit Card;https://b.zmtcdn.com/data/res_imagery/18075759_RESTAURANT_26d4a95af2fccbd20fa8c6ff4a332b3e_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Prochownia Żoliborz;Warszawa;Czarnieckiego 51, Żoliborz, Warszawa 01-541;Cafe,Takeaway Available,Credit Card,Live Music,Indoor Seating,Wifi,Fullbar,Snacks,Pet Friendly,Board Games;https://b.zmtcdn.com/data/res_imagery/10900843_RESTAURANT_f1b71aa665deaff57db6dbcd4b13fc99_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Stor;Warszawa;Tamka 33, Powiśle, Warszawa;Cafe,Credit Card,Breakfast,Fullbar,Pet Friendly,Indoor Seating,Wifi;https://b.zmtcdn.com/data/res_imagery/10903415_RESTAURANT_7e07d467e7f3018f92b663dd4d8bfcaa_c.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
Batida;Warszawa;Marszałkowska 53, Śródmieście Południowe, Warszawa;Cafe,Desserts,Cash,Delivery,Breakfast,Credit Card,Takeaway Available,Gluten Free Options,Desserts and Bakes,Fullbar,Indoor Seating,Kid Friendly,Wifi,Vegetarian Friendly;https://b.zmtcdn.com/data/res_imagery/10900695_CHAIN_0fa287a2edc579bf590a47d351e1bd4e.jpg?fit=around%7C200%3A200&crop=200%3A200%3B%2A%2C%2A
